fecha,cod_ine,CCAA,total,tipo
2020-04-09,00,Total,15238,fallecidos
2020-04-10,00,Total,15843,fallecidos
2020-04-11,00,Total,16353,fallecidos
2020-04-12,00,Total,16972,fallecidos
2020-04-13,00,Total,17489,fallecidos
2020-04-14,00,Total,18056,fallecidos
2020-04-15,00,Total,18579,fallecidos
2020-03-04,01,Andalucía,1,uci
2020-03-05,01,Andalucía,1,uci
2020-03-06,01,Andalucía,1,uci
2020-03-09,01,Andalucía,1,uci
2020-03-10,01,Andalucía,1,uci
2020-03-11,01,Andalucía,3,uci
2020-03-12,01,Andalucía,4,uci
2020-03-13,01,Andalucía,8,uci
2020-03-16,01,Andalucía,11,uci
2020-03-17,01,Andalucía,13,uci
2020-03-18,01,Andalucía,21,uci
2020-03-19,01,Andalucía,25,uci
2020-03-20,01,Andalucía,38,uci
2020-03-21,01,Andalucía,53,uci
2020-03-22,01,Andalucía,55,uci
2020-03-23,01,Andalucía,77,uci
2020-03-24,01,Andalucía,102,uci
2020-03-25,01,Andalucía,116,uci
2020-03-26,01,Andalucía,134,uci
2020-03-27,01,Andalucía,148,uci
2020-03-28,01,Andalucía,172,uci
2020-03-29,01,Andalucía,201,uci
2020-03-30,01,Andalucía,216,uci
2020-03-31,01,Andalucía,235,uci
2020-04-01,01,Andalucía,260,uci
2020-04-02,01,Andalucía,280,uci
2020-04-03,01,Andalucía,338,uci
2020-04-04,01,Andalucía,364,uci
2020-04-05,01,Andalucía,474,uci
2020-04-06,01,Andalucía,489,uci
2020-04-07,01,Andalucía,499,uci
2020-04-08,01,Andalucía,520,uci
2020-04-09,01,Andalucía,538,uci
2020-04-10,01,Andalucía,582,uci
2020-04-11,01,Andalucía,602,uci
2020-04-12,01,Andalucía,619,uci
2020-04-13,01,Andalucía,621,uci
2020-04-14,01,Andalucía,631,uci
2020-04-15,01,Andalucía,665,uci
2020-03-04,02,Aragón,0,uci
2020-03-05,02,Aragón,1,uci
2020-03-06,02,Aragón,1,uci
2020-03-09,02,Aragón,1,uci
2020-03-10,02,Aragón,3,uci
2020-03-11,02,Aragón,3,uci
2020-03-12,02,Aragón,3,uci
2020-03-13,02,Aragón,3,uci
2020-03-16,02,Aragón,7,uci
2020-03-17,02,Aragón,9,uci
2020-03-18,02,Aragón,9,uci
2020-03-19,02,Aragón,14,uci
2020-03-20,02,Aragón,28,uci
2020-03-21,02,Aragón,33,uci
2020-03-22,02,Aragón,45,uci
2020-03-23,02,Aragón,52,uci
2020-03-24,02,Aragón,66,uci
2020-03-25,02,Aragón,75,uci
2020-03-26,02,Aragón,93,uci
2020-03-27,02,Aragón,114,uci
2020-03-28,02,Aragón,124,uci
2020-03-29,02,Aragón,124,uci
2020-03-30,02,Aragón,156,uci
2020-03-31,02,Aragón,165,uci
2020-04-01,02,Aragón,168,uci
2020-04-02,02,Aragón,178,uci
2020-04-03,02,Aragón,180,uci
2020-04-04,02,Aragón,190,uci
2020-04-05,02,Aragón,233,uci
2020-04-06,02,Aragón,237,uci
2020-04-07,02,Aragón,247,uci
2020-04-08,02,Aragón,255,uci
2020-04-09,02,Aragón,261,uci
2020-04-10,02,Aragón,263,uci
2020-04-11,02,Aragón,266,uci
2020-04-12,02,Aragón,272,uci
2020-04-13,02,Aragón,274,uci
2020-04-14,02,Aragón,280,uci
2020-04-15,02,Aragón,282,uci
2020-03-04,03,Asturias,1,uci
2020-03-05,03,Asturias,2,uci
2020-03-06,03,Asturias,2,uci
2020-03-09,03,Asturias,2,uci
2020-03-10,03,Asturias,2,uci
2020-03-11,03,Asturias,2,uci
2020-03-12,03,Asturias,2,uci
2020-03-13,03,Asturias,2,uci
2020-03-16,03,Asturias,3,uci
2020-03-17,03,Asturias,5,uci
2020-03-18,03,Asturias,5,uci
2020-03-19,03,Asturias,6,uci
2020-03-20,03,Asturias,7,uci
2020-03-21,03,Asturias,12,uci
2020-03-22,03,Asturias,15,uci
2020-03-23,03,Asturias,22,uci
2020-03-24,03,Asturias,23,uci
2020-03-25,03,Asturias,29,uci
2020-03-26,03,Asturias,34,uci
2020-03-27,03,Asturias,47,uci
2020-03-28,03,Asturias,50,uci
2020-03-29,03,Asturias,57,uci
2020-03-30,03,Asturias,60,uci
2020-03-31,03,Asturias,65,uci
2020-04-01,03,Asturias,76,uci
2020-04-02,03,Asturias,79,uci
2020-04-03,03,Asturias,86,uci
2020-04-04,03,Asturias,87,uci
2020-04-05,03,Asturias,90,uci
2020-04-06,03,Asturias,90,uci
2020-04-07,03,Asturias,91,uci
2020-04-08,03,Asturias,91,uci
2020-04-09,03,Asturias,94,uci
